Time: 14.9106 | Z_err: 0.0 | Theta_err: -0.9365
Time: 14.9606 | Z_err: 0.0 | Theta_err: -0.8934
Time: 15.0106 | Z_err: 0.0 | Theta_err: -0.8934
Time: 15.0606 | Z_err: 0.0 | Theta_err: -0.853
Time: 15.1106 | Z_err: 0.0 | Theta_err: -0.853
Time: 15.1606 | Z_err: 0.0 | Theta_err: -0.8157
Time: 15.2106 | Z_err: 0.0 | Theta_err: -0.8157
Time: 15.2606 | Z_err: 0.0 | Theta_err: -0.7803
Time: 15.3106 | Z_err: 0.0 | Theta_err: -0.7803
Time: 15.3606 | Z_err: 0.0 | Theta_err: -0.747
Time: 15.4106 | Z_err: 0.0 | Theta_err: -0.747
Time: 15.4606 | Z_err: 0.0 | Theta_err: -0.7158
Time: 15.5106 | Z_err: 0.0 | Theta_err: -0.7158
Time: 15.5606 | Z_err: 0.0 | Theta_err: -0.6862
Time: 15.6106 | Z_err: 0.0 | Theta_err: -0.6862
Time: 15.6606 | Z_err: 0.0 | Theta_err: -0.6582
Time: 15.7106 | Z_err: 0.0 | Theta_err: -0.6582
Time: 15.7606 | Z_err: 0.0 | Theta_err: -0.6321
Time: 15.8106 | Z_err: 0.0 | Theta_err: -0.6321
Time: 15.8606 | Z_err: 0.0 | Theta_err: -0.6069
Time: 15.9106 | Z_err: 0.0 | Theta_err: -0.6069
Time: 15.9606 | Z_err: 0.0 | Theta_err: -0.5833
Time: 16.0106 | Z_err: 0.0 | Theta_err: -0.5833
Time: 16.0606 | Z_err: 0.0 | Theta_err: -0.5612
Time: 16.1106 | Z_err: 0.0 | Theta_err: -0.5612
Time: 16.1606 | Z_err: 0.0 | Theta_err: -0.5402
Time: 16.2106 | Z_err: 0.0 | Theta_err: -0.5402
Time: 16.2606 | Z_err: 0.0 | Theta_err: -0.5207
Time: 16.3106 | Z_err: 0.0 | Theta_err: -0.5207
Time: 16.3606 | Z_err: 0.0 | Theta_err: -0.5026
Time: 16.4106 | Z_err: 0.0 | Theta_err: -0.5026
Time: 16.4606 | Z_err: 0.0 | Theta_err: -0.4854
Time: 16.5106 | Z_err: 0.0 | Theta_err: -0.4854
Time: 16.5606 | Z_err: 0.0 | Theta_err: -0.4695
Time: 16.6106 | Z_err: 0.0 | Theta_err: -0.4695
Time: 16.6605 | Z_err: 0.0 | Theta_err: -0.4544
Time: 16.7106 | Z_err: 0.0 | Theta_err: -0.4544
Time: 16.7606 | Z_err: 0.0 | Theta_err: -0.4407
Time: 16.8106 | Z_err: 0.0 | Theta_err: -0.4407
Time: 16.8606 | Z_err: 0.0 | Theta_err: -0.4274
Time: 16.9106 | Z_err: 0.0 | Theta_err: -0.4274
Time: 16.9606 | Z_err: 0.0 | Theta_err: -0.415
Time: 17.0106 | Z_err: 0.0 | Theta_err: -0.415
Time: 17.0606 | Z_err: 0.0 | Theta_err: -0.4034
Time: 17.1106 | Z_err: 0.0 | Theta_err: -0.4034
Time: 17.1606 | Z_err: 0.0 | Theta_err: -0.3924
Time: 17.2106 | Z_err: 0.0 | Theta_err: -0.3924
Time: 17.2606 | Z_err: 0.0 | Theta_err: -0.3822
Time: 17.3106 | Z_err: 0.0 | Theta_err: -0.3822
Time: 17.3606 | Z_err: 0.0 | Theta_err: -0.3727
Time: 17.4106 | Z_err: 0.0 | Theta_err: -0.3727
Time: 17.4606 | Z_err: 0.0 | Theta_err: -0.364
Time: 17.5106 | Z_err: 0.0 | Theta_err: -0.364
Time: 17.5606 | Z_err: 0.0 | Theta_err: -0.3559
Time: 17.6106 | Z_err: 0.0 | Theta_err: -0.3559
Time: 17.6606 | Z_err: 0.0 | Theta_err: -0.3476
Time: 17.7106 | Z_err: 0.0 | Theta_err: -0.3476
Time: 17.7606 | Z_err: 0.0 | Theta_err: -0.3395
Time: 17.8106 | Z_err: 0.0 | Theta_err: -0.3395
Time: 17.8606 | Z_err: 0.0 | Theta_err: -0.3315
Time: 17.9106 | Z_err: 0.0 | Theta_err: -0.3315
