Time: 3.3002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.3501 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.4002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.4502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.5002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.5502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.6002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.6502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.7001 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.7502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.8001 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.8502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.9002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 3.9502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.0002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.0502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.1002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.1502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.2002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.2502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.3002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.3502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.4002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.4502 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.5002 | X_err: 0 | Y_err: 0 | Z_err: 0.2 | Theta_err: 0.0
Time: 4.5502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.6002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.6502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
